timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681595269804,93,HTTP Request compresion 1,200,OK,Thread Group 1-179,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,92,0,1
1681595270004,115,HTTP Request compresion 1,200,OK,Thread Group 1-180,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,114,0,1
1681595270212,120,HTTP Request compresion 1,200,OK,Thread Group 1-181,text,true,,196,16521499,1,1,http://localhost:5000/api/tasks,120,0,1
1681595270410,132,HTTP Request compresion 1,200,OK,Thread Group 1-182,text,true,,196,16521491,1,1,http://localhost:5000/api/tasks,132,0,1
1681595270609,143,HTTP Request compresion 1,200,OK,Thread Group 1-183,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,143,0,1
1681595270814,112,HTTP Request compresion 1,200,OK,Thread Group 1-184,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,112,0,2
1681595271012,151,HTTP Request compresion 1,200,OK,Thread Group 1-185,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,151,0,1
1681595271214,159,HTTP Request compresion 1,200,OK,Thread Group 1-186,text,true,,196,16521515,1,1,http://localhost:5000/api/tasks,159,0,4
1681595271411,144,HTTP Request compresion 1,200,OK,Thread Group 1-187,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,144,0,1
1681595271600,164,HTTP Request compresion 1,200,OK,Thread Group 1-188,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,164,0,1
1681595271800,154,HTTP Request compresion 1,200,OK,Thread Group 1-189,text,true,,196,16521507,1,1,http://localhost:5000/api/tasks,154,0,2
1681595272001,139,HTTP Request compresion 1,200,OK,Thread Group 1-190,text,true,,196,16521499,1,1,http://localhost:5000/api/tasks,139,0,3
1681595272198,140,HTTP Request compresion 1,200,OK,Thread Group 1-191,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,140,0,1
1681595272399,149,HTTP Request compresion 1,200,OK,Thread Group 1-192,text,true,,196,16521507,1,1,http://localhost:5000/api/tasks,149,0,1
1681595272600,136,HTTP Request compresion 1,200,OK,Thread Group 1-193,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,136,0,2
1681595272800,139,HTTP Request compresion 1,200,OK,Thread Group 1-194,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,139,0,2
1681595273003,136,HTTP Request compresion 1,200,OK,Thread Group 1-195,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,136,0,1
1681595273202,167,HTTP Request compresion 1,200,OK,Thread Group 1-196,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,167,0,2
1681595273400,130,HTTP Request compresion 1,200,OK,Thread Group 1-197,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,129,0,2
1681595273600,107,HTTP Request compresion 1,200,OK,Thread Group 1-198,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,107,0,2
1681595273800,109,HTTP Request compresion 1,200,OK,Thread Group 1-199,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,109,0,2
1681595274000,101,HTTP Request compresion 1,200,OK,Thread Group 1-200,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,101,0,1
1681595274205,111,HTTP Request compresion 1,200,OK,Thread Group 1-201,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,111,0,1
1681595274404,124,HTTP Request compresion 1,200,OK,Thread Group 1-202,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,124,0,1
1681595274603,107,HTTP Request compresion 1,200,OK,Thread Group 1-203,text,true,,196,16521507,1,1,http://localhost:5000/api/tasks,107,0,0
1681595274804,116,HTTP Request compresion 1,200,OK,Thread Group 1-204,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,116,0,1
1681595275005,106,HTTP Request compresion 1,200,OK,Thread Group 1-205,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,106,0,1
1681595275204,106,HTTP Request compresion 1,200,OK,Thread Group 1-206,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,106,0,2
1681595275405,107,HTTP Request compresion 1,200,OK,Thread Group 1-207,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,107,0,1
1681595275605,97,HTTP Request compresion 1,200,OK,Thread Group 1-208,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,97,0,1
1681595275804,100,HTTP Request compresion 1,200,OK,Thread Group 1-209,text,true,,196,16521491,1,1,http://localhost:5000/api/tasks,100,0,0
1681595276005,108,HTTP Request compresion 1,200,OK,Thread Group 1-210,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,108,0,1
1681595276204,116,HTTP Request compresion 1,200,OK,Thread Group 1-211,text,true,,196,16521483,1,1,http://localhost:5000/api/tasks,116,0,1
1681595276405,124,HTTP Request compresion 1,200,OK,Thread Group 1-212,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,124,0,1
1681595276604,123,HTTP Request compresion 1,200,OK,Thread Group 1-213,text,true,,196,16521491,1,1,http://localhost:5000/api/tasks,123,0,1
1681595276804,116,HTTP Request compresion 1,200,OK,Thread Group 1-214,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,116,0,2
1681595277004,109,HTTP Request compresion 1,200,OK,Thread Group 1-215,text,true,,196,16521507,1,1,http://localhost:5000/api/tasks,109,0,1
1681595277204,98,HTTP Request compresion 1,200,OK,Thread Group 1-216,text,true,,196,16521515,1,1,http://localhost:5000/api/tasks,98,0,1
1681595277405,103,HTTP Request compresion 1,200,OK,Thread Group 1-217,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,103,0,0
1681595277605,97,HTTP Request compresion 1,200,OK,Thread Group 1-218,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,96,0,1
1681595277804,102,HTTP Request compresion 1,200,OK,Thread Group 1-219,text,true,,196,16521515,1,1,http://localhost:5000/api/tasks,102,0,1
1681595278005,102,HTTP Request compresion 1,200,OK,Thread Group 1-220,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,101,0,1
1681595278204,105,HTTP Request compresion 1,200,OK,Thread Group 1-221,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,105,0,1
1681595278404,118,HTTP Request compresion 1,200,OK,Thread Group 1-222,text,true,,196,16521483,1,1,http://localhost:5000/api/tasks,118,0,2
1681595278608,138,HTTP Request compresion 1,200,OK,Thread Group 1-223,text,true,,196,16521499,1,1,http://localhost:5000/api/tasks,138,0,1
